cod_reclamo,cod_representante,cod_pedido,cod_seguimiento,cod_tipo_reclamo,cod_nivel_urgencia,cod_estado_reclamo,comentario,fecha_suceso,fecha_reclamo
76,29,74,39,E,B,C,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,3/20/2024,3/21/2024
66,11,25,32,D,M,A,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,3/5/2024,3/8/2024
38,11,81,75,G,M,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,4/7/2024,4/10/2024
8,16,69,17,E,A,C,La impresora de etiquetas recibida no imprime correctamente y presenta errores de funcionamiento.,3/21/2024,3/25/2024
75,61,19,29,G,B,A,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,3/15/2024,3/18/2024
46,9,36,3,C,M,D,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,4/15/2024,4/18/2024
91,12,37,77,A,A,C,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,3/27/2024,3/31/2024
99,88,55,13,E,B,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,3/27/2024,3/30/2024
1,92,70,95,A,M,C,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2/26/2024,3/1/2024
8,3,36,73,D,M,C,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2/28/2024,2/28/2024
40,57,3,50,F,A,C,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,3/13/2024,3/16/2024
6,49,52,65,A,B,B,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,3/30/2024,3/30/2024
48,12,39,44,F,B,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,3/22/2024,3/26/2024
70,81,19,41,F,A,D,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,4/5/2024,4/9/2024
23,28,98,75,G,B,A,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,3/4/2024,3/4/2024
62,59,50,92,A,A,D,La impresora de etiquetas recibida no imprime correctamente y presenta errores de funcionamiento.,4/11/2024,4/13/2024
20,64,38,46,C,A,C,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,3/5/2024,3/6/2024
10,71,93,91,A,M,D,La impresora de etiquetas recibida no imprime correctamente y presenta errores de funcionamiento.,3/30/2024,3/31/2024
22,77,59,91,E,A,A,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,3/4/2024,3/6/2024
84,45,58,94,C,A,C,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,3/15/2024,3/19/2024
75,91,64,30,G,A,C,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,3/8/2024,3/9/2024
7,8,87,29,B,A,D,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,3/21/2024,3/21/2024
91,91,79,21,C,M,D,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,4/3/2024,4/5/2024
59,77,51,78,C,B,D,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,4/6/2024,4/7/2024
74,58,54,89,A,B,D,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,4/13/2024,4/14/2024
57,52,25,50,A,M,B,La impresora de etiquetas recibida no imprime correctamente y presenta errores de funcionamiento.,3/13/2024,3/14/2024
37,9,93,94,E,B,B,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,3/20/2024,3/24/2024
39,2,48,13,E,M,A,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,3/10/2024,3/14/2024
2,15,10,41,F,M,B,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,3/13/2024,3/16/2024
18,15,63,49,F,M,D,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,3/16/2024,3/19/2024
11,13,76,85,A,B,D,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,3/11/2024,3/12/2024
15,88,21,37,C,M,D,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,3/17/2024,3/18/2024
41,30,57,20,E,M,B,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,4/5/2024,4/5/2024
76,98,84,90,F,M,D,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,3/17/2024,3/18/2024
88,50,44,87,E,A,D,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,2/27/2024,3/1/2024
97,54,83,40,F,M,C,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2/29/2024,3/3/2024
26,30,37,28,G,B,C,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,3/24/2024,3/28/2024
32,22,25,77,F,M,B,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,3/4/2024,3/6/2024
82,94,41,79,E,M,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,3/9/2024,3/11/2024
22,89,33,60,B,M,C,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,4/16/2024,4/17/2024
72,46,62,33,E,M,C,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,4/17/2024,4/18/2024
52,47,2,99,E,B,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,3/19/2024,3/20/2024
44,53,54,92,B,A,D,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,3/21/2024,3/24/2024
