cod_pedido,cod_representante,cod_empleado,cod_pedido_tipo,cod_pedido_estado,fecha_registro,cod_ticket
206,927,230,A,F,2024-01-28,206
207,370,336,V,R,2021-01-20,207
208,638,100,V,F,2021-05-29,208
209,183,585,V,A,2021-05-02,209
210,720,756,V,R,2019-10-16,210
211,122,879,V,P,2023-01-29,211
212,957,128,A,A,2020-12-19,212
213,338,931,V,P,2021-07-10,213
214,757,112,V,F,2022-10-24,214
215,437,782,A,A,2023-12-05,215
216,951,870,V,A,2021-05-09,216
217,445,477,A,P,2019-04-19,217
218,265,367,A,R,2020-09-08,218
219,437,653,V,P,2023-08-10,219
220,603,196,V,A,2020-12-02,220
221,859,804,A,R,2020-05-03,221
222,430,361,A,R,2019-07-07,222
223,95,88,V,A,2020-10-13,223
224,518,523,V,R,2024-03-05,224
225,282,970,V,R,2019-07-20,225
226,620,737,A,F,2022-12-02,226
227,978,72,V,P,2024-05-22,227
228,440,284,V,R,2023-07-08,228
229,589,815,V,R,2020-09-09,229
230,736,300,V,R,2021-03-04,230
231,961,874,A,F,2023-01-17,231
232,646,756,A,P,2019-05-11,232
233,801,821,V,P,2022-09-04,233
234,997,374,A,P,2024-02-04,234
235,125,461,A,A,2022-02-18,235
236,325,557,V,A,2023-06-07,236
237,138,386,V,F,2023-11-14,237
238,19,109,V,A,2024-02-15,238
239,110,300,A,F,2019-10-09,239
240,14,174,A,P,2023-07-22,240
241,111,634,V,P,2019-05-13,241
242,649,441,V,A,2019-05-13,242
243,99,140,V,F,2022-10-18,243
244,114,389,A,A,2020-05-29,244
245,752,141,V,P,2021-02-01,245
246,267,472,A,F,2024-01-02,246
247,78,300,A,R,2023-03-31,247
248,662,174,A,R,2023-05-07,248
249,41,614,V,P,2019-03-03,249
250,297,166,A,R,2021-03-16,250
251,532,122,A,A,2019-08-03,251
252,207,464,V,R,2023-05-27,252
253,107,373,A,P,2021-06-18,253
254,443,144,A,A,2021-03-23,254
255,911,228,A,F,2023-09-27,255
256,673,245,A,R,2021-12-20,256
257,471,187,V,A,2020-10-23,257
258,300,245,A,F,2019-06-07,258
259,151,540,V,A,2022-02-04,259
260,874,336,A,R,2020-07-18,260
261,424,496,V,P,2020-12-10,261
262,830,424,A,A,2020-05-08,262
263,104,314,V,R,2019-01-07,263
264,606,203,V,F,2021-03-31,264
265,164,87,V,P,2021-01-23,265
266,689,204,A,P,2020-08-13,266
267,516,186,A,F,2022-01-27,267
268,490,512,V,R,2019-02-28,268
269,873,707,A,R,2022-02-01,269
270,357,197,A,R,2023-05-06,270
271,941,329,V,F,2024-01-03,271
272,611,905,A,F,2022-10-25,272
273,836,252,A,R,2021-02-01,273
274,644,253,A,P,2022-03-18,274
275,859,724,V,F,2020-07-09,275
276,80,843,V,A,2020-05-12,276
277,800,624,V,F,2020-05-27,277
278,476,39,A,R,2024-01-01,278
279,690,463,A,A,2023-05-01,279
280,43,423,A,P,2022-04-18,280
281,787,958,A,R,2022-11-29,281
282,377,731,A,F,2023-08-10,282
283,14,423,A,F,2022-09-16,283
284,68,943,A,P,2021-03-18,284
285,614,48,A,R,2020-04-19,285
286,223,362,A,P,2021-06-18,286
287,779,536,A,A,2022-04-28,287
288,985,741,A,P,2020-11-29,288
289,981,723,A,R,2021-06-20,289
290,330,292,V,R,2022-01-01,290
291,538,703,A,R,2021-03-26,291
292,354,480,V,R,2022-11-11,292
293,630,219,A,R,2023-05-24,293
294,67,196,V,F,2023-12-20,294
295,252,252,V,P,2019-08-04,295
296,223,877,V,P,2020-09-29,296
297,661,977,A,P,2020-06-20,297
298,979,751,V,P,2023-09-25,298
299,33,847,V,A,2023-10-10,299
300,424,602,V,R,2023-01-11,300
301,942,440,A,R,2019-03-24,301
302,794,744,V,A,2020-01-25,302
303,790,442,A,P,2024-05-04,303
304,261,831,A,F,2021-04-01,304
305,879,730,A,R,2022-03-29,305
306,75,921,A,F,2021-03-27,306
307,564,226,V,F,2022-04-28,307
308,59,711,V,R,2022-08-04,308
309,979,722,V,F,2019-12-20,309
310,385,247,V,P,2021-01-27,310
311,984,410,A,A,2021-03-04,311
312,27,271,A,A,2023-08-08,312
313,409,32,V,A,2021-09-06,313
314,915,200,A,R,2020-10-17,314
315,874,33,V,P,2022-07-10,315
316,504,691,V,R,2023-05-10,316
317,349,239,A,F,2019-07-05,317
318,595,771,V,R,2019-10-01,318
319,855,319,V,A,2023-06-01,319
320,890,447,A,R,2024-03-24,320
321,392,859,V,A,2023-10-31,321
322,34,372,A,A,2019-01-06,322
323,400,872,V,R,2024-01-23,323
324,17,364,A,F,2023-03-06,324
325,720,513,V,R,2023-07-26,325
326,460,40,A,P,2021-11-20,326
327,490,781,A,F,2021-01-04,327
328,43,747,V,P,2023-05-04,328
329,429,504,A,R,2020-04-05,329
330,200,172,A,P,2019-02-07,330
331,427,379,V,R,2024-04-21,331
332,739,62,V,R,2023-09-06,332
333,930,230,A,F,2024-03-15,333
334,589,137,V,F,2024-02-24,334
335,816,970,V,F,2020-09-17,335
336,31,946,V,F,2021-08-15,336
337,377,480,A,R,2022-09-21,337
338,682,80,A,R,2020-03-04,338
339,825,631,V,P,2021-11-14,339
340,602,704,A,R,2021-04-08,340
341,660,996,A,F,2024-01-07,341
342,809,956,A,R,2024-01-17,342
343,62,540,V,P,2023-03-12,343
344,832,997,A,A,2022-09-18,344
345,48,249,V,F,2019-12-25,345
346,748,123,A,R,2019-01-16,346
347,506,519,V,A,2024-05-31,347
348,759,573,A,F,2021-12-07,348
349,324,591,A,F,2019-02-21,349
350,238,734,A,A,2024-02-16,350
351,512,50,A,A,2020-03-27,351
352,432,132,V,A,2022-05-09,352
353,728,859,V,F,2021-09-10,353
354,97,423,A,F,2020-10-05,354
355,677,103,A,P,2021-09-07,355
356,688,575,A,A,2023-10-11,356
357,831,737,V,F,2021-04-04,357
358,454,818,V,A,2024-01-02,358
359,469,116,A,A,2020-10-13,359
360,524,936,V,A,2021-01-21,360
361,87,404,V,A,2020-01-21,361
362,115,53,V,P,2019-03-13,362
363,403,390,V,R,2023-09-13,363
364,383,295,V,P,2024-01-24,364
365,670,258,A,R,2021-05-10,365
366,538,212,A,F,2019-04-08,366
367,391,604,V,A,2020-02-27,367
368,417,31,A,A,2023-03-10,368
369,769,499,V,R,2021-12-28,369
370,471,597,A,P,2020-04-02,370
371,228,790,V,F,2020-04-17,371
372,689,710,V,A,2023-04-24,372
373,407,17,V,P,2022-12-26,373
374,134,111,A,F,2019-01-14,374
375,696,861,A,R,2024-01-10,375
376,86,910,V,A,2024-02-13,376
377,570,888,A,F,2022-08-01,377
378,211,966,A,P,2023-08-18,378
379,306,512,V,P,2023-01-17,379
380,192,407,V,F,2023-09-12,380
381,700,142,V,P,2022-06-17,381
382,185,863,V,A,2021-10-24,382
383,105,625,A,R,2024-04-15,383
384,845,749,V,A,2023-03-14,384
385,297,676,A,P,2022-12-31,385
386,940,177,V,R,2022-03-17,386
387,639,775,A,F,2019-02-13,387
388,836,788,V,R,2022-08-24,388
389,772,937,A,P,2019-10-02,389
390,270,702,V,R,2020-03-29,390
391,132,571,A,F,2023-03-03,391
392,508,406,V,A,2019-09-25,392
393,977,567,A,R,2021-03-23,393
394,789,130,A,F,2022-10-24,394
395,350,231,V,F,2020-07-02,395
396,62,431,A,P,2020-04-11,396
397,6,980,A,R,2021-12-23,397
398,765,989,V,R,2023-01-22,398
399,212,363,A,R,2020-01-04,399
400,818,55,V,P,2024-04-25,400
401,962,365,V,F,2021-03-24,401
402,986,423,A,P,2023-02-02,402
403,418,957,A,P,2021-05-06,403
404,759,621,V,P,2020-01-30,404
405,185,882,V,P,2024-05-23,405
406,955,685,A,F,2023-05-31,406
407,994,158,V,F,2019-02-15,407
408,316,667,V,A,2023-05-30,408
409,758,804,A,P,2019-01-02,409
410,113,45,A,P,2021-12-18,410
411,838,133,V,A,2021-08-30,411
412,555,391,A,A,2019-12-06,412
413,492,435,V,F,2021-09-07,413
414,588,930,A,F,2020-11-29,414
415,466,650,V,F,2023-07-29,415
416,685,689,V,R,2020-04-21,416
417,116,491,V,P,2023-05-18,417
418,364,462,A,A,2024-02-14,418
419,418,292,A,R,2020-12-17,419
420,459,221,A,A,2023-04-24,420
421,249,581,A,F,2023-09-12,421
422,679,823,V,F,2020-12-04,422
423,628,415,V,P,2019-11-05,423
424,927,609,A,A,2023-12-26,424
425,498,718,A,P,2022-07-06,425
426,923,112,V,F,2019-01-31,426
427,523,936,V,P,2023-02-24,427
428,632,335,A,A,2020-12-17,428
429,176,635,V,A,2020-04-23,429
430,157,247,V,F,2023-05-11,430
431,42,253,A,P,2021-06-08,431
432,867,117,V,F,2020-07-03,432
433,877,276,A,R,2021-01-10,433
434,363,185,V,F,2021-07-23,434
435,176,481,V,R,2022-03-18,435
436,132,983,A,A,2020-11-05,436
437,296,518,V,P,2024-04-27,437
438,23,815,A,A,2020-08-28,438
439,347,964,A,A,2019-05-18,439
440,926,447,V,P,2020-11-13,440
441,774,207,A,F,2019-03-11,441
442,4,401,A,R,2022-10-02,442
443,739,916,V,R,2020-07-18,443
444,56,426,V,F,2022-11-11,444
445,16,263,A,A,2024-05-03,445
446,208,427,V,P,2022-07-16,446
447,424,321,V,F,2021-04-01,447
448,223,690,V,F,2020-12-18,448
449,556,956,V,F,2022-07-28,449
450,843,87,A,F,2019-05-29,450
451,351,405,A,R,2019-11-02,451
452,453,951,V,R,2021-12-09,452
453,618,348,V,F,2020-07-10,453
454,72,385,A,A,2020-07-20,454
455,11,431,V,F,2020-06-02,455
456,488,430,A,R,2022-03-13,456
457,646,978,V,P,2021-03-28,457
458,820,243,A,A,2024-03-01,458
459,87,902,V,A,2022-09-04,459
460,300,511,A,R,2022-10-23,460
461,769,918,V,R,2022-07-10,461
462,960,824,V,R,2021-06-18,462
463,650,553,V,A,2023-02-20,463
464,556,550,V,F,2023-05-18,464
465,728,90,V,F,2020-12-26,465
466,810,443,A,A,2022-03-14,466
467,395,722,A,A,2020-03-30,467
468,808,959,V,R,2019-07-22,468
469,182,582,V,P,2020-11-22,469
470,519,340,A,F,2024-05-17,470
471,841,290,V,F,2019-03-06,471
472,121,648,A,A,2020-12-15,472
473,425,912,A,P,2024-04-13,473
474,530,516,V,F,2021-09-01,474
475,811,446,V,P,2022-04-09,475
476,741,253,A,R,2021-04-15,476
477,371,12,A,P,2023-12-04,477
478,410,978,A,R,2022-12-13,478
479,420,752,A,P,2022-11-25,479
480,752,609,A,R,2024-04-27,480
481,215,128,V,P,2022-07-10,481
482,423,925,V,A,2020-11-07,482
483,281,458,A,A,2022-03-14,483
484,696,659,A,R,2020-04-30,484
485,592,453,V,F,2024-03-24,485
486,977,925,A,P,2020-05-16,486
487,145,97,A,P,2019-12-24,487
488,591,750,A,R,2022-10-13,488
489,344,787,A,R,2023-12-15,489
490,670,517,V,F,2023-10-19,490
491,500,198,V,P,2023-10-29,491
492,796,290,V,A,2020-02-07,492
493,951,777,A,A,2020-09-30,493
494,419,287,A,A,2023-08-07,494
495,217,894,V,P,2020-09-14,495
496,950,176,V,A,2020-08-30,496
497,484,127,V,F,2022-02-04,497
498,404,854,V,A,2020-06-18,498
499,322,949,A,P,2019-01-01,499
500,74,700,A,P,2023-11-13,500
501,899,760,A,R,2020-04-20,501
502,523,730,A,A,2021-08-04,502
503,630,797,V,R,2019-01-25,503
504,888,565,A,F,2023-09-04,504
505,332,444,V,F,2024-04-26,505
506,779,284,V,A,2022-07-22,506
507,264,278,A,P,2024-04-16,507
508,720,921,V,R,2020-04-15,508
509,122,257,V,P,2021-05-23,509
510,269,27,A,F,2020-01-29,510
511,25,319,V,F,2021-12-24,511
512,361,806,A,F,2022-09-18,512
513,709,242,V,A,2019-06-13,513
514,818,253,V,A,2019-07-15,514
515,717,441,A,A,2021-06-04,515
516,957,741,V,P,2021-03-02,516
517,88,943,V,F,2023-08-06,517
518,355,228,V,R,2020-10-19,518
519,454,195,A,R,2020-11-12,519
520,994,920,A,P,2020-05-06,520
521,597,897,V,F,2019-11-08,521
522,994,724,V,F,2021-04-24,522
523,691,502,A,P,2023-02-20,523
524,787,511,A,F,2021-08-01,524
525,534,84,A,R,2024-01-23,525
526,167,915,A,R,2020-07-24,526
527,152,652,A,A,2024-01-01,527
528,129,119,V,A,2022-03-19,528
529,583,540,A,F,2020-10-06,529
530,67,465,V,A,2020-10-21,530
531,896,632,A,R,2024-05-18,531
532,845,382,V,P,2019-07-17,532
533,143,122,V,A,2022-02-25,533
534,180,167,V,A,2022-11-17,534
535,539,423,V,F,2020-06-05,535
536,215,852,V,F,2022-09-25,536
537,311,487,V,A,2020-07-18,537
538,252,627,A,F,2023-10-21,538
539,977,529,A,P,2020-04-27,539
540,930,414,V,F,2021-01-24,540
541,682,150,A,R,2022-02-02,541
542,815,885,A,F,2023-05-08,542
543,333,629,V,F,2021-09-12,543
544,364,190,A,P,2019-08-22,544
545,288,631,A,F,2023-11-22,545
546,255,831,A,A,2019-10-26,546
547,453,198,V,P,2022-08-03,547
548,379,496,A,F,2023-08-24,548
549,275,943,V,P,2024-05-24,549
550,199,968,V,P,2023-12-23,550
551,97,520,A,F,2021-04-06,551
552,307,85,A,A,2021-06-04,552
553,297,889,A,P,2021-10-13,553
554,631,383,A,R,2020-09-20,554
555,327,720,V,F,2021-03-11,555
556,203,491,V,A,2023-10-04,556
557,741,922,V,R,2022-07-05,557
558,176,563,V,F,2021-12-16,558
559,25,807,V,F,2024-04-28,559
560,749,456,V,F,2019-02-01,560
561,886,873,A,F,2020-04-18,561
562,716,527,A,A,2020-05-17,562
563,381,922,A,R,2023-11-17,563
564,252,902,V,F,2021-10-20,564
565,595,330,A,A,2019-04-19,565
566,959,789,V,R,2023-09-01,566
567,228,955,V,F,2024-04-21,567
568,638,514,A,A,2023-09-24,568
569,93,146,V,P,2023-06-06,569
570,783,208,V,F,2022-12-06,570
571,695,143,A,R,2023-01-21,571
572,523,882,A,R,2019-09-06,572
573,953,641,A,A,2022-05-16,573
574,396,225,V,A,2021-09-05,574
575,342,50,V,R,2023-03-17,575
576,996,393,V,A,2022-01-10,576
577,187,250,V,R,2020-09-19,577
578,346,469,A,R,2021-07-06,578
579,409,317,V,A,2023-11-04,579
580,966,764,V,R,2020-09-13,580
581,942,760,A,F,2022-08-30,581
582,437,755,A,R,2023-04-01,582
583,710,983,A,A,2020-01-22,583
584,664,452,A,P,2022-07-01,584
585,595,178,A,A,2019-10-20,585
586,814,212,A,P,2021-01-21,586
587,653,678,V,P,2023-02-03,587
588,710,821,A,P,2022-07-06,588
589,384,308,A,R,2022-12-30,589
590,114,739,V,F,2019-03-01,590
591,562,850,A,R,2022-04-16,591
592,839,935,V,A,2021-10-17,592
593,143,542,A,P,2021-09-10,593
594,702,151,V,P,2020-08-19,594
595,563,122,V,F,2023-11-04,595
596,711,368,A,A,2022-05-18,596
597,283,501,V,R,2020-09-15,597
598,14,560,A,A,2022-05-03,598
599,277,644,V,R,2020-03-08,599
600,866,827,V,P,2019-01-24,600
601,264,359,V,A,2021-09-16,601
602,59,698,V,A,2019-02-01,602
603,508,673,A,P,2020-12-19,603
604,452,406,V,F,2019-11-20,604
605,709,202,V,A,2019-11-19,605
606,707,964,A,P,2022-03-04,606
607,148,56,A,R,2023-12-22,607
608,143,541,A,F,2022-09-28,608
609,93,222,V,R,2023-03-23,609
610,959,223,V,F,2019-01-08,610
611,238,459,A,A,2023-09-08,611
612,312,298,A,A,2023-03-13,612
613,626,230,A,A,2024-04-08,613
614,577,284,V,A,2023-02-17,614
615,475,938,V,P,2021-03-21,615
616,660,50,A,A,2020-05-28,616
617,479,759,V,P,2020-05-16,617
618,219,459,V,F,2019-03-10,618
619,979,219,A,P,2023-02-24,619
620,669,253,V,R,2021-10-06,620
621,223,351,V,P,2023-01-18,621
622,700,271,V,P,2020-03-27,622
623,532,375,V,A,2024-03-09,623
624,920,950,V,P,2022-01-24,624
625,538,66,A,P,2023-03-18,625
626,894,370,V,F,2019-06-04,626
627,374,875,V,P,2021-08-06,627
628,309,888,V,F,2019-09-05,628
629,216,668,A,F,2022-02-05,629
630,858,873,V,R,2019-04-17,630
631,639,209,V,P,2022-11-24,631
632,357,241,V,A,2019-09-12,632
633,815,526,A,A,2022-02-10,633
634,344,82,V,P,2022-09-07,634
635,450,966,V,A,2021-04-27,635
636,922,623,V,R,2020-02-14,636
637,116,565,A,R,2022-02-10,637
638,402,691,V,R,2020-02-09,638
639,684,142,V,A,2020-05-29,639
640,270,947,V,F,2023-11-11,640
641,183,973,A,F,2023-01-22,641
642,541,834,V,A,2022-08-21,642
643,804,398,A,R,2021-12-30,643
644,981,129,A,P,2020-08-04,644
645,868,864,V,P,2021-04-10,645
646,69,683,V,F,2022-09-11,646
647,202,912,A,A,2022-09-16,647
648,162,561,V,P,2021-06-19,648
649,390,495,A,F,2019-08-04,649
650,631,71,V,F,2022-11-25,650
651,549,675,V,R,2019-03-05,651
652,61,989,V,R,2020-08-30,652
653,999,726,A,R,2019-03-02,653
654,337,79,A,P,2020-12-31,654
655,476,244,A,A,2019-08-27,655
656,289,127,A,R,2019-01-24,656
657,59,811,V,R,2019-09-04,657
658,398,578,A,F,2021-08-25,658
659,34,875,V,F,2023-01-14,659
660,477,76,A,P,2019-02-06,660
661,233,267,A,R,2024-01-10,661
662,152,374,A,A,2023-12-03,662
663,95,279,A,A,2023-11-09,663
664,663,877,A,R,2024-02-22,664
665,389,409,V,P,2022-12-17,665
666,492,724,A,R,2023-10-08,666
667,786,620,A,P,2022-10-09,667
668,643,714,A,A,2022-02-28,668
669,547,957,V,R,2022-10-12,669
670,665,439,V,P,2024-02-27,670
671,117,709,V,P,2020-10-06,671
672,443,114,V,R,2023-07-25,672
673,459,636,V,A,2023-02-07,673
674,229,671,A,F,2023-04-14,674
675,947,597,V,A,2020-06-14,675
676,94,21,V,A,2019-01-08,676
677,314,645,A,F,2020-07-06,677
678,411,324,V,A,2019-09-12,678
679,454,857,V,P,2019-10-30,679
680,895,826,V,A,2019-04-25,680
681,832,649,A,P,2021-11-14,681
682,129,570,A,P,2023-06-29,682
683,931,755,V,R,2023-08-09,683
684,859,981,A,P,2021-05-29,684
685,498,455,V,R,2023-05-04,685
686,763,435,V,F,2024-05-27,686
687,199,596,A,P,2020-03-06,687
688,238,908,V,A,2022-07-27,688
689,708,950,V,R,2022-05-13,689
690,266,981,A,F,2019-05-22,690
691,641,608,V,R,2019-03-23,691
692,310,141,V,R,2021-10-04,692
693,498,367,V,F,2021-08-23,693
694,12,423,A,F,2022-02-16,694
695,474,188,A,A,2023-07-19,695
696,689,196,V,P,2020-05-22,696
697,467,691,A,P,2020-07-11,697
698,612,803,V,P,2020-06-11,698
699,886,718,V,A,2021-07-16,699
700,600,307,A,P,2023-03-11,700
701,484,388,V,A,2021-07-05,701
702,980,735,V,F,2019-09-23,702
703,386,873,V,A,2020-08-30,703
704,982,462,V,P,2022-11-22,704
705,381,174,V,F,2024-03-03,705
706,908,921,A,P,2023-04-29,706
707,140,968,V,R,2021-01-13,707
708,699,116,V,P,2020-01-31,708
709,21,692,V,F,2022-11-11,709
710,9,483,V,A,2022-08-18,710
711,529,100,A,R,2021-07-21,711
712,744,478,V,R,2023-12-16,712
713,345,859,V,F,2020-11-21,713
714,547,256,A,A,2019-07-11,714
715,777,576,V,R,2023-07-04,715
716,502,651,A,P,2023-11-28,716
717,135,764,V,R,2021-03-10,717
718,970,292,A,F,2020-12-14,718
719,838,633,A,F,2020-02-29,719
720,475,63,V,A,2023-07-02,720
721,349,670,A,R,2019-07-15,721
722,487,879,V,F,2024-01-12,722
723,576,219,V,F,2022-02-19,723
724,399,146,A,F,2022-09-20,724
725,972,943,A,P,2020-10-07,725
726,76,938,A,A,2023-05-05,726
727,65,510,A,P,2020-05-14,727
728,419,505,V,R,2023-05-21,728
729,464,433,A,R,2024-02-11,729
730,732,498,V,R,2023-03-02,730
731,40,382,A,A,2020-08-19,731
